,Aridity_Index_Avg,Average Precipitation Trend,GlacierAreaFrac,Mean_Volume_Loss_ssp126,Mean_Volume_Loss_ssp245,Mean_Volume_Loss_ssp370,Mean_Volume_Loss_ssp585,Mean_Initial_Volumes_ssp126,Mean_Initial_Volumes_ssp245,Mean_Initial_Volumes_ssp370,Mean_Initial_Volumes_ssp585,#glaciers
DRAMSELVA,4.994450695413712,-21322309.30401136,0.0020669119180036,2.2963740825653076,2.3287606239318848,2.333857297897339,2.334259271621704,2.3346617221832275,2.3346617221832275,2.3346617221832275,2.3346617221832275,50
SVARTA,2.902561671157714,-28291146.773358326,0.0780817970543764,31.156938552856445,35.83845520019531,41.12459182739258,45.39256286621094,53.73956298828125,53.73956298828125,53.73956298828125,53.73956298828125,19
LAGARFLJOT,0.7619323513154427,-28253952.933795504,0.0466411937052587,18.454833984375,22.144664764404297,26.189777374267575,27.703594207763672,33.350128173828125,33.350128173828125,33.350128173828125,33.350128173828125,10
JOKULSA A FJOLLUM,1.846350483203281,52307347.75658382,0.1454738145695364,156.55734252929688,195.4915008544922,245.21876525878903,279.77423095703125,451.4669494628906,451.4669494628906,451.4669494628906,451.4669494628906,10
CLUTHA,5.19228411951028,-6453632.6281887,0.0079556385474427,3.414419412612915,4.714040756225586,5.468478202819824,5.593237400054932,5.913985729217529,5.913985729217529,5.913985729217529,5.913985729217529,660
YUKON,2.1285905365695768,-35139343.90758146,0.0121384954639139,892.6309814453125,1065.8770751953125,1218.6007080078125,1364.600830078125,1934.15625,1934.15625,1934.156005859375,1934.156494140625,2994
TAKU,3.4988987820099617,-35988954.21733693,0.0784848225663869,128.2253875732422,145.43923950195312,157.13687133789062,164.13626098632812,181.97059631347656,181.97059631347656,181.97059631347656,181.97059631347656,639
SUSITNA,2.6803400662944323,119138007.58120556,0.0866797707057987,458.9759826660156,519.9221801757812,585.1801147460938,631.443359375,802.2510375976562,802.2510375976562,802.2510375976562,802.2510375976562,1256
STIKINE,3.012718851310626,83168124.85009317,0.0714249884029648,291.77166748046875,316.534423828125,334.12042236328125,341.8118896484375,361.0764770507813,361.0764770507813,361.0764770507813,361.0764770507813,2275
SKEENA,1.5784861189793271,1384101476.0352356,0.0157648424178875,34.04542541503906,35.965476989746094,36.66758346557617,36.85298156738281,36.996097564697266,36.996097564697266,36.996097564697266,36.996097564697266,1168
SKAGIT,0.9815858432155304,510281287.84172976,0.0298876833023756,5.909732341766357,6.782135486602783,7.23390531539917,7.312209129333496,7.418792724609375,7.418792724609375,7.418792724609375,7.418792724609375,802
NUSHAGAK,8.625672327520816,73397811.17126456,0.0026983985031907,4.814249515533447,4.881927490234375,4.931222915649414,4.939018726348877,4.943260669708252,4.943260669708252,4.943260669708252,4.943260669708252,116
NASS,1.429769593462212,599429146.4117867,0.0645165404282357,115.79256439208984,123.2426986694336,127.3720245361328,128.7019805908203,130.04928588867188,130.04928588867188,130.04928588867188,130.04928588867188,819
KUSKOKWIM,9.119935566110971,181557944.9127257,0.0089345166809933,66.0363540649414,70.47171020507812,74.3675308227539,75.9572525024414,79.82313537597656,79.82313537597656,79.82313537597656,79.82313537597656,874
FRASER,2.5191361296272934,283470868.589422,0.011636567880611,136.0609893798828,146.464111328125,152.37838745117188,153.94244384765625,156.08680725097656,156.0870361328125,156.08680725097656,156.08717346191406,2632
COPPER,4.236010337579753,217180680.0910891,0.2476955085131414,1716.91796875,2074.47900390625,2339.392578125,2615.08154296875,4672.85498046875,4672.85498046875,4672.85498046875,4672.85498046875,3305
COLUMBIA,6.549884516099593,43281470.4516777,0.0032865876066703,88.61337280273438,99.05345916748048,105.0241241455078,106.14532470703124,107.54078674316406,107.54100036621094,107.54100036621094,107.54100036621094,3437
ALSEK,4.995816588222734,69892928.41042079,0.200040722095745,810.3258056640625,902.68408203125,956.5283203125,1004.1947021484376,1209.369384765625,1209.369384765625,1209.369384765625,1209.369384765625,1391
NELSON,2.797577226969706,8605704.877505518,0.0003502885125559,21.890623092651367,23.905269622802734,25.157543182373047,25.38340759277344,25.704225540161133,25.704225540161133,25.704225540161133,25.704225540161133,586
MACKENZIE,4.647264839768642,90210991.20554385,0.0008252353289013,68.41563415527344,73.17711639404297,76.36425018310547,77.16207885742188,78.12848663330078,78.12848663330078,78.12848663330078,78.12848663330078,2130
